Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Temp_SD,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbent,Sorbent_val,Sorbent_SD,Sorbent_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units
azbn00,azbn00_f1,5,quartz,SiO2,NA,NA,NA,Na(+1),0.09682135128901545,0.005,mol/L,Cl(+7),0.1009667701280407,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.538649076218907,0.1,U(+6),9.348268065786598e-07,5e-08,mol/L,7.981637087739174e-07,5e-08,mol/L,1.51e-07,5e-08,mol/L,NA,NA,NA,12.657234470031945,1.2,g/L,0.1955872484736331,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,6,quartz,SiO2,NA,NA,NA,Na(+1),0.11368578590246009,0.005,mol/L,Cl(+7),0.10375157698304269,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.958585270877484,0.1,U(+6),1.0924787052185583e-06,5e-08,mol/L,5.564277944231967e-07,5e-08,mol/L,4.17e-07,5e-08,mol/L,NA,NA,NA,11.639541757609162,1.2,g/L,0.23125615129672966,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,7,quartz,SiO2,NA,NA,NA,Na(+1),0.09461504349727369,0.005,mol/L,Cl(+7),0.10939068772738918,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5040523666702335,0.1,U(+6),9.602626192998782e-07,5e-08,mol/L,5.354685785799407e-07,5e-08,mol/L,4.97e-07,5e-08,mol/L,NA,NA,NA,11.204850211138144,1.2,g/L,0.1934135269516579,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,8,quartz,SiO2,NA,NA,NA,Na(+1),0.10149851142133896,0.005,mol/L,Cl(+7),0.09616493508678346,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.784188196586605,0.1,U(+6),1.0849863070313262e-06,5e-08,mol/L,5.515109430371271e-07,5e-08,mol/L,4.62e-07,5e-08,mol/L,NA,NA,NA,12.57328313074603,1.2,g/L,0.18984224724486207,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,9,quartz,SiO2,NA,NA,NA,Na(+1),0.09483260860096047,0.005,mol/L,Cl(+7),0.10092560733136463,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.218972051551165,0.1,U(+6),1.0288721122975496e-06,5e-08,mol/L,6.13986609875062e-07,5e-08,mol/L,3.9e-07,5e-08,mol/L,NA,NA,NA,14.166624695146659,1.2,g/L,0.17600969110095321,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,10,quartz,SiO2,NA,NA,NA,Na(+1),0.10436236331208751,0.005,mol/L,Cl(+7),0.09744779024427382,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.586011906340749,0.1,U(+6),9.494685385123914e-07,5e-08,mol/L,7.800142165201959e-07,5e-08,mol/L,1.9e-07,5e-08,mol/L,NA,NA,NA,12.884320685322587,1.2,g/L,0.2547917161976045,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,11,quartz,SiO2,NA,NA,NA,Na(+1),0.09502736679667872,0.005,mol/L,Cl(+7),0.09385113561072542,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.197825258238082,0.1,U(+6),1.1177923424648833e-06,5e-08,mol/L,9.71538829620306e-07,5e-08,mol/L,-1.96e-09,5e-08,mol/L,NA,NA,NA,11.730402926638346,1.2,g/L,0.18072334691640357,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,12,quartz,SiO2,NA,NA,NA,Na(+1),0.08802703977511299,0.005,mol/L,Cl(+7),0.09886243263261339,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.962353509670978,0.1,U(+6),9.988577481367458e-07,5e-08,mol/L,1.0340677838216216e-06,5e-08,mol/L,-7.09e-08,5e-08,mol/L,NA,NA,NA,11.331837243642749,1.2,g/L,0.20421974157772468,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,1,quartz,SiO2,Merck,NA,NA,Na(+1),0.10822525557830479,0.005,mol/L,Cl(+7),0.10313124669805011,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.551631728593145,0.1,U(+6),1.0096567472217453e-06,5e-08,mol/L,1.0450608679173335e-06,5e-08,mol/L,-5.98e-08,5e-08,mol/L,NA,NA,NA,14.756239077108157,1.25,g/L,0.09711295886429468,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn98,azbn98_f2c,2,quartz,SiO2,Merck,NA,NA,Na(+1),0.10397502081856524,0.005,mol/L,Cl(+7),0.10407204889947645,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.953729217621105,0.1,U(+6),1.0186307132096824e-06,5e-08,mol/L,1.0371681763782125e-06,5e-08,mol/L,-4.85e-08,5e-08,mol/L,NA,NA,NA,12.382951407367168,1.25,g/L,0.10415242326668203,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
