         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          mu	    la_UO2+2	   la_UO2CO3	
          25	      i_soln	          23	         -99	         -99	         -99	        6.01	           4	   0.0965792	 -7.2188e+00	 -1.0000e+03	
          25	       react	          23	         -99	           0	           1	        6.01	     13.3627	    0.102982	 -7.2741e+00	 -7.4917e+00	
          26	      i_soln	          24	         -99	         -99	         -99	       6.519	           4	   0.0970747	 -7.9477e+00	 -1.0000e+03	
          26	       react	          24	         -99	           0	           1	       6.519	     12.7518	    0.103481	 -8.1378e+00	 -7.5397e+00	
          27	      i_soln	          25	         -99	         -99	         -99	        6.75	           4	   0.0990617	 -8.3238e+00	 -1.0000e+03	
          27	       react	          25	         -99	           0	           1	        6.75	     12.4745	    0.105468	 -8.6012e+00	 -7.6800e+00	
          28	      i_soln	          26	         -99	         -99	         -99	       7.231	           4	    0.101543	 -9.1146e+00	 -1.0000e+03	
          28	       react	          26	         -99	           0	           1	       7.231	     11.8972	    0.107952	 -9.5679e+00	 -8.0559e+00	
          29	      i_soln	          27	         -99	         -99	         -99	       7.604	           4	    0.105518	 -9.7550e+00	 -1.0000e+03	
          29	       react	          27	         -99	           0	           1	       7.604	     11.4493	    0.111925	 -1.0324e+01	 -8.4034e+00	
          30	      i_soln	          28	         -99	         -99	         -99	       8.162	           4	    0.104529	 -1.0811e+01	 -1.0000e+03	
          30	       react	          28	         -99	           0	           1	       8.162	     10.7798	    0.110935	 -1.1465e+01	 -8.9661e+00	
          31	      i_soln	          29	         -99	         -99	         -99	       8.976	           4	   0.0985694	 -1.2871e+01	 -1.0000e+03	
          31	       react	          29	         -99	           0	           1	       8.976	     9.80335	    0.104984	 -1.3194e+01	 -9.9002e+00	
          32	      i_soln	          30	         -99	         -99	         -99	       3.453	           4	    0.104237	 -6.4363e+00	 -1.0000e+03	
          32	       react	          30	         -99	           0	           1	       3.453	     16.4305	    0.110627	 -6.4452e+00	 -1.1646e+01	
          33	      i_soln	          31	         -99	         -99	         -99	       4.107	           4	    0.104569	 -6.4648e+00	 -1.0000e+03	
          33	       react	          31	         -99	           0	           1	       4.107	     15.6458	    0.110965	 -6.4735e+00	 -1.0368e+01	
          34	      i_soln	          32	         -99	         -99	         -99	       4.698	           4	    0.101564	 -6.4679e+00	 -1.0000e+03	
          34	       react	          32	         -99	           0	           1	       4.698	     14.9368	    0.107957	 -6.4764e+00	 -9.1939e+00	
          35	      i_soln	          33	         -99	         -99	         -99	       5.055	           4	     0.10701	 -6.5933e+00	 -1.0000e+03	
          35	       react	          33	         -99	           0	           1	       5.055	     14.5081	    0.113406	 -6.6015e+00	 -8.6142e+00	
          36	      i_soln	          34	         -99	         -99	         -99	        5.54	           4	   0.0985706	 -6.7903e+00	 -1.0000e+03	
          36	       react	          34	         -99	           0	           1	        5.54	     13.9266	    0.104968	 -6.8037e+00	 -7.8784e+00	
          37	      i_soln	          35	         -99	         -99	         -99	       5.934	           4	   0.0980696	 -7.1343e+00	 -1.0000e+03	
          37	       react	          35	         -99	           0	           1	       5.934	     13.4538	    0.104471	 -7.1781e+00	 -7.5288e+00	
          38	      i_soln	          36	         -99	         -99	         -99	       6.266	           4	   0.0955888	 -7.5816e+00	 -1.0000e+03	
          38	       react	          36	         -99	           0	           1	       6.266	     13.0555	    0.101992	 -7.6943e+00	 -7.4829e+00	
          39	      i_soln	          37	         -99	         -99	         -99	       6.721	           4	   0.0975749	 -8.2768e+00	 -1.0000e+03	
          39	       react	          37	         -99	           0	           1	       6.721	     12.5094	     0.10398	 -8.5435e+00	 -7.6602e+00	
          40	      i_soln	          38	         -99	         -99	         -99	        7.26	           4	   0.0995578	 -9.1686e+00	 -1.0000e+03	
          40	       react	          38	         -99	           0	           1	        7.26	     11.8625	    0.105967	 -9.6342e+00	 -8.0874e+00	
          41	      i_soln	          39	         -99	         -99	         -99	       7.491	           4	    0.105022	 -9.5637e+00	 -1.0000e+03	
          41	       react	          39	         -99	           0	           1	       7.491	      11.585	    0.111428	 -1.0103e+01	 -8.3021e+00	
          42	      i_soln	          40	         -99	         -99	         -99	       8.259	           4	     0.09659	 -1.1016e+01	 -1.0000e+03	
          42	       react	          40	         -99	           0	           1	       8.259	     10.6639	    0.102998	 -1.1662e+01	 -9.0604e+00	
          43	      i_soln	          41	         -99	         -99	         -99	       8.955	           4	    0.104038	 -1.2788e+01	 -1.0000e+03	
          43	       react	          41	         -99	           0	           1	       8.955	     9.82822	    0.110446	 -1.3130e+01	 -9.8578e+00	
          44	      i_soln	          42	         -99	         -99	         -99	       9.665	           4	   0.0990928	 -1.4857e+01	 -1.0000e+03	
          44	       react	          42	         -99	           0	           1	       9.665	     8.97651	    0.105511	 -1.4898e+01	 -1.1031e+01	
          45	      i_soln	          43	         -99	         -99	         -99	       2.948	           4	   0.0106093	 -6.5648e+00	 -1.0000e+03	
          45	       react	          43	         -99	           0	           1	       2.948	     17.0471	   0.0170379	 -6.6061e+00	 -1.2774e+01	
          46	      i_soln	          44	         -99	         -99	         -99	       4.154	           4	  0.00953151	 -6.5823e+00	 -1.0000e+03	
          46	       react	          44	         -99	           0	           1	       4.154	     15.6004	   0.0159763	 -6.6241e+00	 -1.0382e+01	
          47	      i_soln	          45	         -99	         -99	         -99	       5.101	           4	  0.00999677	 -6.7921e+00	 -1.0000e+03	
          47	       react	          45	         -99	           0	           1	       5.101	     14.4639	   0.0164429	 -6.8254e+00	 -8.7019e+00	
          48	      i_soln	          46	         -99	         -99	         -99	       5.068	           4	  0.00949777	 -6.7248e+00	 -1.0000e+03	
          48	       react	          46	         -99	           0	           1	       5.068	     14.5036	   0.0159446	 -6.7591e+00	 -8.7006e+00	
          49	      i_soln	          47	         -99	         -99	         -99	       5.497	           4	  0.00949455	 -6.9501e+00	 -1.0000e+03	
          49	       react	          47	         -99	           0	           1	       5.497	     13.9888	   0.0159433	 -6.9836e+00	 -8.0893e+00	
          50	      i_soln	          48	         -99	         -99	         -99	       6.032	           4	   0.0104916	 -7.4692e+00	 -1.0000e+03	
          50	       react	          48	         -99	           0	           1	       6.032	     13.3465	    0.016942	 -7.5520e+00	 -7.6653e+00	
          51	      i_soln	          49	         -99	         -99	         -99	       6.952	           4	  0.00999182	 -8.7992e+00	 -1.0000e+03	
          51	       react	          49	         -99	           0	           1	       6.952	     12.2426	   0.0164501	 -9.2375e+00	 -7.9394e+00	
          52	      i_soln	          50	         -99	         -99	         -99	       7.472	           4	   0.0094926	 -9.6689e+00	 -1.0000e+03	
          52	       react	          50	         -99	           0	           1	       7.472	     11.6188	   0.0159546	 -1.0291e+01	 -8.3748e+00	
          53	      i_soln	          51	         -99	         -99	         -99	       8.666	           4	  0.00999425	 -1.2313e+01	 -1.0000e+03	
          53	       react	          51	         -99	           0	           1	       8.666	     10.1858	   0.0164579	 -1.2777e+01	 -9.6317e+00	
