Experiment,Mineral_source,Mineral,UO2CO3,mu,Uranyl_Complex,uranium_total,Site_Density
358,1,0,-10.73,0.0119543,-8.8646,-6.0,-2.3382775889721437
359,1,0,-10.376,0.0119549,-8.8677,-6.0,-2.3382775889721437
360,1,0,-9.6181,0.0119563,-8.8734,-6.0,-2.3382775889721437
361,1,0,-9.4753,0.0119567,-8.8748,-6.0,-2.3382775889721437
362,1,0,-9.3,0.0119571,-8.8769,-6.0,-2.3382775889721437
363,1,0,-8.6363,0.0119596,-8.8953,-6.0,-2.3382775889721437
364,1,0,-8.2022,0.0119623,-8.9473,-6.0,-2.3382775889721437
365,2,0,-12.575,0.00747779,-6.4608,-6.301029995663981,-2.856791528850031
366,2,0,-11.58,0.00711946,-6.4616,-6.301029995663981,-2.856791528850031
367,2,0,-10.585,0.00700675,-6.4739,-6.301029995663981,-2.856791528850031
368,2,0,-9.6195,0.00697192,-6.5142,-6.301029995663981,-2.856791528850031
369,2,0,-8.7395,0.00696132,-6.6248,-6.301029995663981,-2.856791528850031
370,2,0,-8.0239,0.00695854,-6.8732,-6.301029995663981,-2.856791528850031
371,2,0,-7.5928,0.0069593,-7.385,-6.301029995663981,-2.856791528850031
372,2,0,-7.5995,0.00696268,-8.2241,-6.301029995663981,-2.856791528850031
373,2,0,-7.8933,0.00696681,-9.212,-6.301029995663981,-2.856791528850031
374,2,0,-8.363,0.00696987,-10.326,-6.301029995663981,-2.856791528850031
375,2,0,-8.8443,0.00697139,-11.333,-6.301029995663981,-2.856791528850031
376,2,0,-9.3421,0.00697319,-12.313,-6.301029995663981,-2.856791528850031
377,2,0,-9.963,0.00697852,-13.445,-6.301029995663981,-2.856791528850031
378,5,0,-13.61,0.0573172,-7.0586,-6.692503962086787,-2.9090638018867154
379,5,0,-12.551,0.0568347,-7.0603,-6.692503962086787,-2.9090638018867154
380,5,0,-11.367,0.0566865,-7.0714,-6.692503962086787,-2.9090638018867154
381,5,0,-10.263,0.0566509,-7.1112,-6.692503962086787,-2.9090638018867154
382,5,0,-8.8941,0.0566408,-7.3358,-6.692503962086787,-2.9090638018867154
383,5,0,-8.28,0.0566405,-7.6841,-6.692503962086787,-2.9090638018867154
384,5,0,-8.0952,0.0566413,-7.9599,-6.692503962086787,-2.9090638018867154
385,5,0,-8.0494,0.0566419,-8.1211,-6.692503962086787,-2.9090638018867154
386,5,0,-8.0332,0.0566424,-8.2516,-6.692503962086787,-2.9090638018867154
387,5,0,-8.0318,0.056643,-8.42,-6.692503962086787,-2.9090638018867154
388,5,0,-8.047,0.0566437,-8.5932,-6.692503962086787,-2.9090638018867154
389,5,0,-8.0842,0.0566446,-8.8158,-6.692503962086787,-2.9090638018867154
390,5,0,-8.177,0.056646,-9.186,-6.692503962086787,-2.9090638018867154
391,5,0,-8.4698,0.0566488,-10.015,-6.692503962086787,-2.9090638018867154
392,5,0,-8.8696,0.0566508,-10.926,-6.692503962086787,-2.9090638018867154
393,5,0,-9.4114,0.0566527,-12.025,-6.692503962086787,-2.9090638018867154
394,5,0,-9.9809,0.0566559,-13.071,-6.692503962086787,-2.9090638018867154
395,5,0,-10.301,0.0566589,-13.607,-6.692503962086787,-2.9090638018867154
396,5,0,-10.685,0.0566641,-14.206,-6.692503962086787,-2.9090638018867154
397,5,0,-10.795,0.0566659,-14.37,-6.692503962086787,-2.9090638018867154
398,5,0,-13.904,0.0575954,-7.0589,-6.690369832574102,-2.9090638018867154
399,5,0,-12.757,0.0568883,-7.0596,-6.690369832574102,-2.9090638018867154
400,5,0,-11.801,0.0567192,-7.0654,-6.690369832574102,-2.9090638018867154
401,5,0,-11.379,0.0566872,-7.0712,-6.690369832574102,-2.9090638018867154
402,5,0,-11.085,0.0566727,-7.0772,-6.690369832574102,-2.9090638018867154
403,5,0,-11.081,0.0566725,-7.0773,-6.690369832574102,-2.9090638018867154
404,5,0,-11.046,0.0566711,-7.0782,-6.690369832574102,-2.9090638018867154
405,5,0,-9.14,0.0566415,-7.2637,-6.690369832574102,-2.9090638018867154
406,5,0,-8.5809,0.0566403,-7.4695,-6.690369832574102,-2.9090638018867154
407,5,0,-8.3198,0.0566405,-7.6469,-6.690369832574102,-2.9090638018867154
408,5,0,-8.0365,0.0566422,-8.2121,-6.690369832574102,-2.9090638018867154
409,5,0,-8.0315,0.056643,-8.413,-6.690369832574102,-2.9090638018867154
410,5,0,-8.0792,0.0566445,-8.7908,-6.690369832574102,-2.9090638018867154
411,5,0,-8.1931,0.0566462,-9.2406,-6.690369832574102,-2.9090638018867154
412,5,0,-8.3489,0.0566478,-9.7025,-6.690369832574102,-2.9090638018867154
413,5,0,-8.5967,0.0566496,-10.32,-6.690369832574102,-2.9090638018867154
414,5,0,-8.7745,0.0566504,-10.721,-6.690369832574102,-2.9090638018867154
415,5,0,-8.8075,0.0566506,-10.792,-6.690369832574102,-2.9090638018867154
416,5,0,-9.5738,0.0566534,-12.334,-6.690369832574102,-2.9090638018867154
417,5,0,-10.308,0.056659,-13.619,-6.690369832574102,-2.9090638018867154
418,5,0,-10.909,0.0566679,-14.536,-6.690369832574102,-2.9090638018867154
419,5,0,-13.474,0.0585527,-6.0313,-5.669586226650809,-5.078640278466388
420,5,0,-12.006,0.0569867,-6.0296,-5.669586226650809,-5.078640278466388
421,5,0,-10.767,0.0567221,-6.0362,-5.669586226650809,-5.078640278466388
422,5,0,-9.9686,0.0566728,-6.0508,-5.669586226650809,-5.078640278466388
423,5,0,-9.7231,0.0566648,-6.0589,-5.669586226650809,-5.078640278466388
424,5,0,-9.4824,0.0566589,-6.0696,-5.669586226650809,-5.078640278466388
425,5,0,-9.21,0.056654,-6.0863,-5.669586226650809,-5.078640278466388
426,5,0,-8.8956,0.0566498,-6.1143,-5.669586226650809,-5.078640278466388
427,5,0,-8.5028,0.0566464,-6.1702,-5.669586226650809,-5.078640278466388
428,5,0,-8.0907,0.0566439,-6.2773,-5.669586226650809,-5.078640278466388
429,5,0,-7.6549,0.056642,-6.5791,-5.669586226650809,-5.078640278466388
430,5,0,-7.4428,0.0566433,-7.698,-5.669586226650809,-5.078640278466388
431,5,0,-7.55,0.0566455,-8.3066,-5.669586226650809,-5.078640278466388
432,5,0,-7.7023,0.0566473,-8.8192,-5.669586226650809,-5.078640278466388
433,5,0,-7.9871,0.0566495,-9.5669,-5.669586226650809,-5.078640278466388
434,5,0,-8.246,0.0566507,-10.159,-5.669586226650809,-5.078640278466388
435,5,0,-8.5211,0.0566516,-10.746,-5.669586226650809,-5.078640278466388
436,5,0,-13.535,0.0586769,-6.0377,-5.675717544702307,-4.078640278466388
437,5,0,-11.925,0.0569529,-6.0359,-5.675717544702307,-4.078640278466388
438,5,0,-10.379,0.056692,-6.0478,-5.675717544702307,-4.078640278466388
439,5,0,-10.043,0.0566754,-6.055,-5.675717544702307,-4.078640278466388
440,5,0,-9.6066,0.0566615,-6.0701,-5.675717544702307,-4.078640278466388
441,5,0,-9.0265,0.0566513,-6.1079,-5.675717544702307,-4.078640278466388
442,5,0,-8.7349,0.0566481,-6.1404,-5.675717544702307,-4.078640278466388
443,5,0,-8.3803,0.0566454,-6.2021,-5.675717544702307,-4.078640278466388
444,5,0,-8.1938,0.0566444,-6.2506,-5.675717544702307,-4.078640278466388
445,5,0,-7.9495,0.0566432,-6.346,-5.675717544702307,-4.078640278466388
446,5,0,-7.905,0.056643,-6.3699,-5.675717544702307,-4.078640278466388
447,5,0,-7.439,0.0566422,-7.3003,-5.675717544702307,-4.078640278466388
448,5,0,-7.4579,0.0566437,-7.8155,-5.675717544702307,-4.078640278466388
449,5,0,-7.615,0.0566463,-8.5377,-5.675717544702307,-4.078640278466388
450,5,0,-7.8641,0.0566487,-9.2583,-5.675717544702307,-4.078640278466388
451,5,0,-8.0678,0.0566499,-9.7536,-5.675717544702307,-4.078640278466388
452,5,0,-8.2919,0.0566509,-10.256,-5.675717544702307,-4.078640278466388
453,5,0,-8.5544,0.0566517,-10.813,-5.675717544702307,-4.078640278466388
454,5,0,-13.383,0.0583262,-6.0474,-5.686132779630847,-3.68070026979435
455,5,0,-11.915,0.0569456,-6.0463,-5.686132779630847,-3.68070026979435
456,5,0,-10.297,0.0566867,-6.0599,-5.686132779630847,-3.68070026979435
457,5,0,-9.7493,0.0566649,-6.075,-5.686132779630847,-3.68070026979435
458,5,0,-9.145,0.0566526,-6.1089,-5.686132779630847,-3.68070026979435
459,5,0,-8.6686,0.0566474,-6.1615,-5.686132779630847,-3.68070026979435
460,5,0,-8.4327,0.0566456,-6.2031,-5.686132779630847,-3.68070026979435
461,5,0,-8.1045,0.0566438,-6.2931,-5.686132779630847,-3.68070026979435
462,5,0,-7.693,0.0566421,-6.5576,-5.686132779630847,-3.68070026979435
463,5,0,-7.525,0.0566416,-6.8664,-5.686132779630847,-3.68070026979435
464,5,0,-7.4619,0.0566418,-7.1351,-5.686132779630847,-3.68070026979435
465,5,0,-7.439,0.0566426,-7.4687,-5.686132779630847,-3.68070026979435
466,5,0,-7.4736,0.056644,-7.9013,-5.686132779630847,-3.68070026979435
467,5,0,-7.5331,0.0566451,-8.2134,-5.686132779630847,-3.68070026979435
468,5,0,-7.6628,0.0566468,-8.6839,-5.686132779630847,-3.68070026979435
469,5,0,-7.8427,0.0566485,-9.1956,-5.686132779630847,-3.68070026979435
470,5,0,-8.2334,0.0566506,-10.123,-5.686132779630847,-3.68070026979435
471,5,0,-8.3318,0.056651,-10.337,-5.686132779630847,-3.68070026979435
472,5,0,-8.682,0.056652,-11.071,-5.686132779630847,-3.68070026979435
473,5,0,-14.368,0.0583107,-7.039,-6.686132779630847,-3.68070026979435
474,5,0,-12.885,0.0569342,-7.038,-6.686132779630847,-3.68070026979435
475,5,0,-11.279,0.0566825,-7.0515,-6.686132779630847,-3.68070026979435
476,5,0,-10.711,0.0566606,-7.067,-6.686132779630847,-3.68070026979435
477,5,0,-10.084,0.0566486,-7.1016,-6.686132779630847,-3.68070026979435
478,5,0,-9.6773,0.0566445,-7.1425,-6.686132779630847,-3.68070026979435
479,5,0,-9.4592,0.056643,-7.1742,-6.686132779630847,-3.68070026979435
480,5,0,-9.1073,0.0566414,-7.247,-6.686132779630847,-3.68070026979435
481,5,0,-8.5898,0.0566403,-7.4361,-6.686132779630847,-3.68070026979435
482,5,0,-8.3003,0.0566405,-7.6311,-6.686132779630847,-3.68070026979435
483,5,0,-8.1505,0.0566409,-7.8065,-6.686132779630847,-3.68070026979435
484,5,0,-8.0475,0.0566417,-8.0558,-6.686132779630847,-3.68070026979435
485,5,0,-8.0228,0.0566431,-8.4317,-6.686132779630847,-3.68070026979435
486,5,0,-8.0591,0.0566442,-8.7199,-6.686132779630847,-3.68070026979435
487,5,0,-8.1603,0.0566458,-9.1449,-6.686132779630847,-3.68070026979435
488,5,0,-8.3554,0.0566478,-9.7291,-6.686132779630847,-3.68070026979435
489,5,0,-8.7361,0.0566502,-10.64,-6.686132779630847,-3.68070026979435
490,5,0,-8.8389,0.0566506,-10.864,-6.686132779630847,-3.68070026979435
491,5,0,-9.1924,0.0566518,-11.596,-6.686132779630847,-3.68070026979435
492,5,0,-12.363,0.0566856,-8.0715,-7.698970004336019,-4.078640278466388
493,5,0,-11.811,0.0566625,-8.0853,-7.698970004336019,-4.078640278466388
494,5,0,-11.199,0.0566495,-8.1155,-7.698970004336019,-4.078640278466388
495,5,0,-10.652,0.0566438,-8.1688,-7.698970004336019,-4.078640278466388
496,5,0,-10.131,0.0566411,-8.2648,-7.698970004336019,-4.078640278466388
497,5,0,-9.6863,0.0566402,-8.4126,-7.698970004336019,-4.078640278466388
498,5,0,-9.3046,0.0566403,-8.6319,-7.698970004336019,-4.078640278466388
499,5,0,-9.1228,0.0566408,-8.7938,-7.698970004336019,-4.078640278466388
500,5,0,-9.0111,0.0566413,-8.9315,-7.698970004336019,-4.078640278466388
501,5,0,-8.8905,0.0566424,-9.167,-7.698970004336019,-4.078640278466388
502,5,0,-8.834,0.0566439,-9.4635,-7.698970004336019,-4.078640278466388
503,5,0,-8.8443,0.0566452,-9.7273,-7.698970004336019,-4.078640278466388
504,5,0,-8.9156,0.0566467,-10.093,-7.698970004336019,-4.078640278466388
505,5,0,-9.0363,0.0566481,-10.484,-7.698970004336019,-4.078640278466388
506,5,0,-9.2689,0.0566497,-11.072,-7.698970004336019,-4.078640278466388
507,5,0,-9.4895,0.0566507,-11.557,-7.698970004336019,-4.078640278466388
508,5,0,-9.7718,0.0566516,-12.125,-7.698970004336019,-4.078640278466388
509,5,0,-13.402,0.0584028,-6.029,-5.667561540084395,-3.68070026979435
510,5,0,-10.226,0.0566841,-6.0424,-5.667561540084395,-3.68070026979435
511,5,0,-9.3802,0.0566569,-6.0731,-5.667561540084395,-3.68070026979435
512,5,0,-8.6868,0.0566478,-6.138,-5.667561540084395,-3.68070026979435
513,5,0,-8.4066,0.0566457,-6.1869,-5.667561540084395,-3.68070026979435
514,5,0,-7.5212,0.0566417,-6.8363,-5.667561540084395,-3.68070026979435
515,5,0,-7.4425,0.056642,-7.2075,-5.667561540084395,-3.68070026979435
516,5,0,-7.4321,0.0566428,-7.5405,-5.667561540084395,-3.68070026979435
517,5,0,-7.5159,0.056645,-8.1648,-5.667561540084395,-3.68070026979435
518,5,0,-7.5954,0.0566461,-8.4787,-5.667561540084395,-3.68070026979435
519,5,0,-7.6491,0.0566468,-8.658,-5.667561540084395,-3.68070026979435
520,5,0,-7.7656,0.0566479,-9.0017,-5.667561540084395,-3.68070026979435
521,5,0,-7.8571,0.0566487,-9.2457,-5.667561540084395,-3.68070026979435
522,5,0,-8.0657,0.05665,-9.7533,-5.667561540084395,-3.68070026979435
523,5,0,-8.4415,0.0566514,-10.58,-5.667561540084395,-3.68070026979435
