Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Temp_SD,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbent,Sorbent_val,Sorbent_SD,Sorbent_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units
azbn00,azbn00_f1,5,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4948,0.1,U(+6),1.00E-06,5.00E-08,mol/L,8.49E-07,5.00E-08,mol/L,1.51E-07,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,6,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9293,0.1,U(+6),1.00E-06,5.00E-08,mol/L,5.83E-07,5.00E-08,mol/L,4.17E-07,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,7,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3738,0.1,U(+6),1.00E-06,5.00E-08,mol/L,5.03E-07,5.00E-08,mol/L,4.97E-07,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,8,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8881,0.1,U(+6),1.00E-06,5.00E-08,mol/L,5.38E-07,5.00E-08,mol/L,4.62E-07,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,9,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2277,0.1,U(+6),1.00E-06,5.00E-08,mol/L,6.10E-07,5.00E-08,mol/L,3.90E-07,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,10,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6148,0.1,U(+6),1.00E-06,5.00E-08,mol/L,8.10E-07,5.00E-08,mol/L,1.90E-07,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,11,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1466,0.1,U(+6),1.00E-06,5.00E-08,mol/L,1.00E-06,5.00E-08,mol/L,-1.96E-09,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,12,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0006,0.1,U(+6),1.00E-06,5.00E-08,mol/L,1.07E-06,5.00E-08,mol/L,-7.09E-08,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,1,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5366,0.1,U(+6),1.00E-06,5.00E-08,mol/L,1.06E-06,5.00E-08,mol/L,-5.98E-08,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,2,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0612,0.1,U(+6),1.00E-06,5.00E-08,mol/L,1.05E-06,5.00E-08,mol/L,-4.85E-08,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,3,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6322,0.1,U(+6),1.00E-06,5.00E-08,mol/L,9.85E-07,5.00E-08,mol/L,1.46E-08,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,4,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0107,0.1,U(+6),1.00E-06,5.00E-08,mol/L,8.71E-07,5.00E-08,mol/L,1.29E-07,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,5,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4895,0.1,U(+6),1.00E-06,5.00E-08,mol/L,8.41E-07,5.00E-08,mol/L,1.59E-07,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,6,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9061,0.1,U(+6),1.00E-06,5.00E-08,mol/L,5.76E-07,5.00E-08,mol/L,4.24E-07,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,7,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3669,0.1,U(+6),1.00E-06,5.00E-08,mol/L,5.01E-07,5.00E-08,mol/L,4.99E-07,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,8,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.882,0.1,U(+6),1.00E-06,5.00E-08,mol/L,5.33E-07,5.00E-08,mol/L,4.67E-07,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,9,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2217,0.1,U(+6),1.00E-06,5.00E-08,mol/L,6.07E-07,5.00E-08,mol/L,3.93E-07,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,10,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5971,0.1,U(+6),1.00E-06,5.00E-08,mol/L,8.09E-07,5.00E-08,mol/L,1.91E-07,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,11,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1474,0.1,U(+6),1.00E-06,5.00E-08,mol/L,9.98E-07,5.00E-08,mol/L,1.74E-09,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn98,azbn98_f2c,12,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0025,0.1,U(+6),1.00E-06,5.00E-08,mol/L,1.07E-06,5.00E-08,mol/L,-6.78E-08,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.1,0.01,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azzbn01,azzbn01_f1a,1,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5279,0.1,U(+6),1.00E-06,5.00E-08,mol/L,9.97E-07,5.00E-08,mol/L,2.84E-09,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azzbn01,azzbn01_f1a,2,quartz,SiO2,Merck,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0497,0.1,U(+6),1.00E-06,5.00E-08,mol/L,9.96E-07,5.00E-08,mol/L,3.57E-09,5.00E-08,mol/L,NA,NA,NA,12.5,1.25,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
